Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
"$22,871",3 bed,4 bath,"3,000 sqft",OK Pets,"20 Park Ave Ph 331,                  ",New York,NY,10016
"$4,595",2 bed,1 bath,904 sqft,NO,"78 Bank St Unit 8,                  ",New York,NY,10013
"$2,700",3 bed,1 bath,Data Not Found,OK Pets,"1465 5th Ave Unit 2,                  ",New York,NY,10035
"$8,300",3 bed,2 bath,"2,008 sqft",NO,"210 E 71st St Unit 11A,                  ",New York,NY,10021
"$4,890",2 bed,1 bath,Data Not Found,OK Pets,"11 W 8th St Apt 2F,                  ",New York,NY,10011
"$7,450",5 bed,2 bath,Data Not Found,OK Pets,"203 E 82nd St Apt 1,                  ",New York,NY,10028
"$4,150",1 bed,1 bath,"1,000 sqft",NO,"317 W 13th St Unit 6L,                  ",New York,NY,10014
"$3,399",2 bed,1 bath,"1,000 sqft",NO,"173 E 90th St Apt 4C,                  ",New York,NY,10128
"$13,500",3 bed,3 bath,"2,328 sqft",NO,"43 White St Unit 6D,                  ",New York,NY,10013
"$14,000",3 bed,2 bath,"3,100 sqft",NO,"492 Broome St Unit 8,                  ",New York,NY,10013
"$5,500",2 bed,2 bath,"1,288 sqft",NO,"202 Ninth Ave Unit C3,                  ",New York,NY,10011
"$6,646",2 bed,2 bath,Data Not Found,OK Pets,"400 W 63rd St Unit 6110,                  ",New York,NY,10069
"$2,725",1 bed,1 bath,540 sqft,NO,"353 E 14th St Unit 2R,                  ",New York,NY,10003
"$4,440",3 bed,1 bath,"1,150 sqft",NO,"190 E 7th St Apt 311,                  ",New York,NY,10009
"$3,200",0 bed,1 bath,Data Not Found,OK Pets,"403 E 56th St Unit 3M,                  ",New York,NY,10022
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,200",0 bed,1 bath,Data Not Found,OK Pets,"403 E 56th St Unit 3M,                  ",New York,NY,10022
"$2,725",1 bed,1 bath,540 sqft,NO,"353 E 14th St Unit 2R,                  ",New York,NY,10003
"$4,440",3 bed,1 bath,"1,150 sqft",NO,"190 E 7th St Apt 311,                  ",New York,NY,10009
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$6,400",1 bed,1 bath,900 sqft,NO,"95 Christopher St Apt 7I,                  ",New York,NY,10014
"$11,950",3 bed,3 bath,Data Not Found,OK Pets,"205 E 59th St Unit 133002G,                  ",New York,NY,10022
"$2,673",1 bed,1 bath,690 sqft,NO,"521 E 5th St Unit 2DD,                  ",New York,NY,10009
"$3,650",2 bed,1 bath,954 sqft,NO,"201 E 30th St Apt 11,                  ",New York,NY,10016
"$3,195",1 bed,1 bath,Data Not Found,OK Pets,"95 Wall St Apt 2223,                  ",New York,NY,10005
"$8,000",2 bed,2 bath,"1,100 sqft",OK Pets,"448 Broome St Unit E3,                  ",New York,NY,10013
"$5,575",1 bed,1 bath,Data Not Found,OK Pets,"1065 Second Ave Unit 1,                  ",New York,NY,10022
"$3,566",1 bed,1 bath,Data Not Found,OK Pets,"561 10th Ave Apt 21F,                  ",New York,NY,10036
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,500",2 bed,2 bath,"1,380 sqft",NO,"519 E 87th St Apt C,                  ",New York,NY,10128
"$8,650",3 bed,2 bath,Data Not Found,OK Pets,"12 E 86th St Apt 231,                  ",New York,NY,10028
"$2,900",1 bed,1 bath,750 sqft,NO,"201 E 35th St Apt 3H,                  ",New York,NY,10016
"$3,000",1 bed,1 bath,575 sqft,NO,"55 Morton St Unit 0,                  ",New York,NY,10014
"$4,904",1 bed,1 bath,Data Not Found,OK Pets,"120 W 21st St Apt 202,                  ",New York,NY,10011
"$2,750",1 bed,1 bath,575 sqft,NO,"137 Sullivan Bed St Unit 1,                  ",New York,NY,10012
"$2,100",1 bed,1 bath,558 sqft,NO,"333 E 95th St Apt 1B,                  ",New York,NY,10128
"$3,150",1 bed,1 bath,875 sqft,NO,"351 W 17th St Unit 4,                  ",New York,NY,10011
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,400",2 bed,1 bath,Data Not Found,NO,"1647 Hobart Ave Unit 4,                  ",Bronx,NY,10461
"$2,650",2 bed,2 bath,725 sqft,NO,"309 E 90th St Apt 2,                  ",New York,NY,10128
"$2,875",1 bed,1 bath,628 sqft,NO,"62 W 56th St Apt 4A,                  ",New York,NY,10019
"$2,695",2 bed,1 bath,825 sqft,NO,"324 E 91st St Apt 16,                  ",New York,NY,10128
"$4,500",3 bed,2 bath,"1,200 sqft",OK Pets,"307 E 37th St Apt 2,                  ",New York,NY,10016
"$3,423",1 bed,1 bath,Data Not Found,OK Pets,"10 Hanover Sq Ph R,                  ",New York,NY,10005
"$3,200",2 bed,1.5 bath,Data Not Found,OK Pets,"1291 Dean St Apt 1W,                  ",New York,NY,11216
"$2,050",1 bed,1 bath,Data Not Found,NO,"720 St Marks Ave Unit C,                  ",Brooklyn,NY,11216
"$2,740",2 bed,1 bath,Data Not Found,NO,"1038 Bedford Ave Unit A1,                  ",Brooklyn,NY,11205
"$3,210",3 bed,1 bath,Data Not Found,NO,"1038 Bedford Ave Unit D4,                  ",Brooklyn,NY,11205
"$2,100",3 bed,1 bath,Data Not Found,NO,"1026 Winthrop St Apt 3,                  ",Brooklyn,NY,11212
"$3,740",1 bed,1 bath,Data Not Found,OK Pets,"235 W 48th St Unit 020R,                  ",Manhattan,NY,10036
"$2,400",1 bed,1 bath,630 sqft,OK Pets,"4907 4th Ave Apt 2D,                  ",New York,NY,11220
"$3,500",1 bed,1 bath,Data Not Found,OK Pets,"345 E 93rd St Apt 30K,                  ",New York,NY,10128
"$6,590",2 bed,2.5 bath,Data Not Found,NO,"101-101 W 55th St Unit 1504,                  ",New York,NY,10019
"$3,969",0 bed,1 bath,Data Not Found,NO,"572-572 11th Ave Ph 7,                  ",New York,NY,10036
"$8,392",2 bed,2 bath,Data Not Found,NO,"685-685 1st Ave Unit 22R,                  ",New York,NY,10018
"$9,425",2 bed,2 bath,Data Not Found,NO,"130-130 W 15th St,                  ",New York,NY,10011
"$6,463",1 bed,1 bath,Data Not Found,NO,"475-475 W 61st Unit 905,                  ",New York,NY,10069
"$8,617",3 bed,2 bath,Data Not Found,NO,"685-685 1st Ave Unit 22P,                  ",New York,NY,10018
"$2,195",2 bed,1 bath,675 sqft,NO,"63-56 Woodhaven Blvd Unit 2F,                  ",Rego Park,NY,11374
"$1,875",2 bed,1 bath,900 sqft,NO,"8405 Bay Pkwy Ste 2,                  ",Brooklyn,NY,11214
"$4,120",1 bed,1 bath,761 sqft,OK Pets,"505 W 37th St Apt 3602,                  ",New York,NY,10018
"$4,050",0 bed,1 bath,560 sqft,OK Pets,"130 W 15th St Apt 8D,                  ",New York,NY,10011
"$2,566",1 bed,1.5 bath,Data Not Found,OK Pets,"750 Washington Ave Apt 1LF,                  ",Brooklyn,NY,11238
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,521",2 bed,1 bath,Data Not Found,OK Pets,"1734 Amsterdam Ave Unit 5N,                  ",Manhattan,NY,10031
"$2,600",3 bed,1.5 bath,"1,450 sqft",OK Pets,"8401 Fort Hamilton Pkwy # 2,                  ",Brooklyn,NY,11209
"$9,500",2 bed,2 bath,"1,696 sqft",OK Pets,"519 W 23rd St Apt 4,                  ",Manhattan,NY,10011
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,160",0 bed,1 bath,640 sqft,OK Pets,"1328 Fulton St Apt P102,                  ",New York,NY,11216
"$4,254",2 bed,2 bath,901 sqft,OK Pets,"43-25 Hunter St Unit 3112W,                  ",Queens,NY,11101
"$4,793",3 bed,2 bath,Data Not Found,OK Pets,"92 Atlantic Ave Unit 11,                  ",Brooklyn,NY,11201
"$4,673",1 bed,1 bath,Data Not Found,NO,"555-555 10th Ave Unit 30L,                  ",New York,NY,10036
"$4,664",1 bed,1 bath,Data Not Found,NO,"555-555 10th Ave Unit 24D,                  ",New York,NY,10036
"$3,395",0 bed,1 bath,530 sqft,OK Pets,"150 W 56th St Unit 39111,                  ",Manhattan,NY,10019
"$3,200",3 bed,1 bath,Data Not Found,OK Pets,"219 13th St Unit 20E,                  ",Brooklyn,NY,11215
"$5,795",3 bed,2 bath,"1,400 sqft",NO,"353 E 83rd St Apt 22H,                  ",Manhattan,NY,10028
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,295",1 bed,1 bath,500 sqft,NO,"501 W 110th St Apt 10G,                  ",New York,NY,10025
"$5,375",0 bed,1 bath,Data Not Found,NO,"95 Horatio St Apt 206,                  ",New York,NY,10014
"$3,795",3 bed,2 bath,"1,440 sqft",NO,"779 Riverside Dr Apt A50,                  ",Manhattan,NY,10032
"$7,800",3 bed,2 bath,Data Not Found,OK Pets,"383 1st St Apt 4,                  ",New York,NY,11215
"$1,650",1 bed,1 bath,Data Not Found,OK Pets,"2483 Cambreleng Ave Apt 12,                  ",Bronx,NY,10458
"$5,333",2 bed,2 bath,840 sqft,OK Pets,"305 E 86th St Unit 18JE,                  ",Manhattan,NY,10028
"$3,995",2 bed,1 bath,Data Not Found,NO,Data Not Found,New York,NY,10022
"$4,175",1 bed,1 bath,Data Not Found,OK Pets,"460 W 24th St Apt 3F,                  ",New York,NY,10011
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$14,800",3 bed,2 bath,"2,500 sqft",OK Pets,"452 Broome St Unit 3W,                  ",New York,NY,10013
"$3,495",1 bed,1 bath,Data Not Found,OK Pets,"230 W 55th St Apt 29G,                  ",New York,NY,10019
"$2,000",2 bed,1 bath,Data Not Found,OK Pets,"1767 Bedford Ave Apt 12A,                  ",Brooklyn,NY,11225
"$5,300",3 bed,2 bath,"1,100 sqft",OK Pets,"825 W End Ave Unit 5F,                  ",New York,NY,10025
"$6,295",3 bed,2 bath,Data Not Found,OK Pets,"230 W 55th St Apt 26D,                  ",New York,NY,10019
"$7,425",1 bed,2 bath,"1,095 sqft",NO,"666 Greenwich St Apt 503,                  ",New York,NY,10014
"$12,000",3 bed,2 bath,"1,359 sqft",OK Pets,"530 Park Ave Apt 2H,                  ",New York,NY,10065
"$2,395",2 bed,1 bath,Data Not Found,OK Pets,"3161 Broadway Apt 2C,                  ",New York,NY,10027
"$3,800",2 bed,2 bath,Data Not Found,OK Pets,"1400 Fifth Ave Apt 8E,                  ",New York,NY,10029
"$7,500",2 bed,2 bath,"1,113 sqft",NO,"389 E 89th St Apt 29D,                  ",New York,NY,10128
"$6,995",3 bed,2 bath,Data Not Found,NO,"577 2nd Ave Ph 61,                  ",Manhattan,NY,10016
"$5,400",1 bed,1 bath,754 sqft,OK Pets,"200 Chambers St Apt 14F,                  ",Manhattan,NY,10007
"$11,450",1 bed,1.5 bath,Data Not Found,OK Pets,"1 Central Park S Unit 1807,                  ",New York,NY,10019
"$6,159",2 bed,1 bath,Data Not Found,OK Pets,"220 E 22nd St Apt 6P,                  ",New York,NY,10010
"$4,275",1 bed,1 bath,Data Not Found,OK Pets,"220 E 22nd St Apt 5C,                  ",New York,NY,10010
"$2,500",3 bed,1 bath,900 sqft,NO,"440 63rd St Unit 3,                  ",Brooklyn,NY,11220
"$2,300",3 bed,1 bath,900 sqft,NO,"440 63rd St Unit 2,                  ",Brooklyn,NY,11220
"$4,695",2 bed,1 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10010
"$2,828",0 bed,1 bath,Data Not Found,OK Pets,"4615 Center Blvd Apt Ph 6,                  ",Long Island City,NY,11109
"$3,995",1 bed,1 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10023
"$3,295",2 bed,2 bath,Data Not Found,NO,"2301 41st Ave Apt 5C,                  ",Long Island City,NY,11101
"$2,925",1 bed,1 bath,Data Not Found,NO,Data Not Found,New York,NY,10022
"$3,820",1 bed,1 bath,Data Not Found,NO,"112 Lexington Ave Unit 5,                  ",New York,NY,10016
"$4,300",4 bed,2 bath,"1,000 sqft",NO,"212 Starr St Apt 2R,                  ",Brooklyn,NY,11237
"$2,750",3 bed,1 bath,Data Not Found,NO,"4906 5th Ave Apt 3R,                  ",Brooklyn,NY,11220
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$5,995",3 bed,2 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10075
"$3,925",1 bed,1 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10019
"$3,200",4 bed,1 bath,Data Not Found,NO,"646 W 207th St Apt 2,                  ",New York,NY,10034
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,500",1 bed,1 bath,Data Not Found,NO,"70 W 139th St Apt 5G,                  ",New York,NY,10037
"$2,195",1 bed,1 bath,Data Not Found,OK Pets,"203 E 121st St Unit 904,                  ",New York,NY,10035
"$3,850",3 bed,2 bath,Data Not Found,NO,"20-33 28th St Unit 1,                  ",Astoria,NY,11105
"$3,500",4 bed,1 bath,"1,200 sqft",NO,"542 Kosciuszko St Apt 3R,                  ",Brooklyn,NY,11221
"$3,500",4 bed,1 bath,800 sqft,OK Pets,Data Not Found,New York,NY,11216
"$3,595",2 bed,1 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10017
"$3,100",4 bed,1 bath,Data Not Found,NO,"646 W 207th St Apt 3,                  ",New York,NY,10034
"$3,095",3 bed,1.5 bath,"1,110 sqft",OK Pets,"1370 Saint Nicholas Ave Apt 5J,                  ",New York,NY,10033
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,600",1 bed,1 bath,750 sqft,OK Pets,Data Not Found,Brooklyn,NY,11216
"$5,750",2 bed,1 bath,Data Not Found,NO,"305 W 13th St Apt 4B,                  ",New York,NY,10014
"$3,995",4 bed,1.5 bath,"1,200 sqft",NO,"897 St Johns Pl Unit 2L,                  ",Brooklyn,NY,11216
"$1,994",1 bed,1 bath,900 sqft,OK Pets,"247 W 131st St Apt 3,                  ",New York,NY,10027
"$3,250",3 bed,1 bath,"1,200 sqft",OK Pets,Data Not Found,Astoria,NY,11102
"$5,650",3 bed,1 bath,Data Not Found,NO,"245 E 5th St Unit D,                  ",New York,NY,10003
"$6,295",3 bed,2 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10016
"$3,395",2 bed,1 bath,900 sqft,NO,Data Not Found,Brooklyn,NY,11201
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$4,195",2 bed,2 bath,Data Not Found,OK Pets,Data Not Found,Long Island City,NY,11109
"$6,395",2 bed,2 bath,Data Not Found,OK Pets,Data Not Found,New York,NY,10023
"$4,795",1 bed,1 bath,Data Not Found,OK Pets,"200 W 26th St Ph 2,                  ",New York,NY,10001
"$3,250",0 bed,1 bath,Data Not Found,NO,"211 W 29th St Unit 4C,                  ",New York,NY,10001
"$3,245",3 bed,1 bath,Data Not Found,NO,"601 W 149th St Apt 5,                  ",Manhattan,NY,10031
"$2,565",3 bed,1 bath,Data Not Found,NO,"540 W 189th St Unit A5,                  ",Manhattan,NY,10040
"$2,595",2 bed,1 bath,Data Not Found,NO,"111 Wadsworth Ave Apt 16G,                  ",Manhattan,NY,10033
"$2,750",3 bed,1 bath,Data Not Found,OK Pets,"26 Post Ave Apt 54,                  ",Manhattan,NY,10034
"$3,000",3 bed,1 bath,Data Not Found,NO,"39 Argyle Rd Apt 2A,                  ",Brooklyn,NY,11218
"$2,100",2 bed,1 bath,Data Not Found,NO,"137 W 145th St Apt 3,                  ",Manhattan,NY,10039
"$3,000",3 bed,1 bath,Data Not Found,NO,"3850 Broadway Unit 54,                  ",Manhattan,NY,10032
"$2,050",2 bed,1 bath,Data Not Found,NO,"515 W 171st St Apt 64,                  ",Manhattan,NY,10032
"$2,650",2 bed,1 bath,Data Not Found,NO,"545 Edgecombe Ave Apt 1B,                  ",Manhattan,NY,10032
"$2,900",3 bed,1.5 bath,Data Not Found,NO,"118 E 102nd St Apt 1C,                  ",Manhattan,NY,10029
"$3,000",2 bed,2 bath,Data Not Found,NO,"113 W 130th St Unit 3,                  ",Manhattan,NY,10027
"$2,200",2 bed,1 bath,Data Not Found,NO,"58 E 130th St Apt 5C,                  ",Manhattan,NY,10037
"$1,650",1 bed,1 bath,Data Not Found,NO,"2605 Marion Ave Apt 1B,                  ",Bronx,NY,10458
"$2,735",3 bed,1 bath,Data Not Found,NO,"539 W 155th St Unit 40,                  ",Manhattan,NY,10032
"$1,775",1 bed,1 bath,Data Not Found,OK Pets,"15 Wadsworth Ave Apt 1A,                  ",Manhattan,NY,10033
"$3,500",1 bed,1 bath,Data Not Found,NO,"150 E 37th St Apt 6A,                  ",Manhattan,NY,10016
"$3,400",2 bed,2 bath,Data Not Found,NO,"168 W 130th St Apt 3,                  ",Manhattan,NY,10027
"$2,595",2 bed,1 bath,Data Not Found,NO,"66 St Nicholas Pl Unit 65B,                  ",Manhattan,NY,10032
"$1,850",1 bed,1 bath,Data Not Found,NO,"111 Ellwood St Apt 5E,                  ",Manhattan,NY,10040
"$3,665",4 bed,2 bath,Data Not Found,OK Pets,"815 W 180th St Apt 44,                  ",Manhattan,NY,10033
"$1,675",0 bed,1 bath,Data Not Found,NO,"60 W 142nd St Apt 7R,                  ",Manhattan,NY,10037
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$1,675",0 bed,1 bath,Data Not Found,NO,"60 W 142nd St Apt 7R,                  ",Manhattan,NY,10037
"$2,850",1 bed,1 bath,610 sqft,NO,"58 W 56th St Unit 40,                  ",New York,NY,10019
"$9,000",5 bed,2 bath,"1,350 sqft",OK Pets,"350 3rd Ave Apt 1A,                  ",New York,NY,10010
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,495",1 bed,1 bath,508 sqft,NO,"148 W 68th St Apt 1F,                  ",New York,NY,10023
"$3,749",1 bed,2 bath,800 sqft,NO,"167 E 90th St Apt 5A,                  ",New York,NY,10128
"$3,195",2 bed,1 bath,Data Not Found,NO,"238 E 36th St Apt 1B,                  ",New York,NY,10016
"$2,850",1 bed,1 bath,608 sqft,NO,"301 E 38th St Apt 4E,                  ",New York,NY,10016
"$2,295",0 bed,1 bath,Data Not Found,NO,"224 Sullivan St Apt E2,                  ",New York,NY,10012
"$4,295",2 bed,2 bath,"1,250 sqft",NO,"235 E 46th St Apt 3K,                  ",New York,NY,10017
"$3,195",2 bed,1 bath,750 sqft,NO,"210 E 83rd St Apt 1C,                  ",New York,NY,10028
"$3,933",1 bed,1 bath,Data Not Found,OK Pets,"795 Columbus Ave Apt 9K,                  ",New York,NY,10025
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$6,500",3 bed,2 bath,"1,550 sqft",NO,"70 W 95th St Apt 2D,                  ",New York,NY,10025
"$4,500",2 bed,1 bath,"1,168 sqft",NO,"400 E 89th St Unit 4X,                  ",New York,NY,10128
"$2,995",2 bed,1 bath,740 sqft,NO,"419 W 47th St Unit 62,                  ",New York,NY,10036
"$2,900",0 bed,1 bath,650 sqft,NO,"15 E 94th St Apt 3A,                  ",New York,NY,10128
"$29,795",4 bed,4 bath,"2,261 sqft",NO,"456 Washington St Unit 290808B,                  ",New York,NY,10013
"$7,495",2 bed,2 bath,Data Not Found,OK Pets,"70 Pine St Apt 2509,                  ",New York,NY,10005
"$6,112",2 bed,1 bath,Data Not Found,OK Pets,"805 Columbus Ave Unit 7,                  ",New York,NY,10025
"$5,050",1 bed,1 bath,900 sqft,OK Pets,"55 W 14th St Unit B,                  ",New York,NY,10011
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,450",1 bed,1 bath,750 sqft,OK Pets,"48 E 66th St Apt 3R,                  ",New York,NY,10065
"$5,995",3 bed,2 bath,"1,200 sqft",OK Pets,"184 Lexington Ave Unit 8BBB,                  ",New York,NY,10016
"$2,575",1 bed,1 bath,575 sqft,NO,"24 Clinton St Unit 19,                  ",New York,NY,10002
"$3,550",1 bed,1 bath,800 sqft,NO,"320 E 54th St Apt 6E,                  ",New York,NY,10022
"$2,300",0 bed,1 bath,495 sqft,NO,"146 W 17th St Apt 4D,                  ",New York,NY,10011
"$2,500",0 bed,1 bath,404 sqft,NO,"59 W 8th St Apt 4A,                  ",New York,NY,10011
"$3,300",2 bed,1 bath,748 sqft,NO,"17 Saint Marks Pl Apt 12,                  ",New York,NY,10003
"$3,184",0 bed,1 bath,Data Not Found,OK Pets,"10 Hanover Sq Ph X,                  ",New York,NY,10005
"$4,295",1 bed,1 bath,850 sqft,OK Pets,"50 E 78th St Apt 5D,                  ",New York,NY,10075
"$10,170",3 bed,2 bath,Data Not Found,OK Pets,"125 W 31st St Unit Phbc,                  ",New York,NY,10001
"$2,250",0 bed,1 bath,Data Not Found,OK Pets,"166 E 55th St Unit 3F,                  ",New York,NY,10022
"$2,350",1 bed,1 bath,Data Not Found,OK Pets,"518 E 80th St Unit 6,                  ",New York,NY,10075
"$5,000",2 bed,3 bath,"1,106 sqft",OK Pets,"717 Madison Ave Apt 5B,                  ",New York,NY,10065
"$2,245",0 bed,1 bath,498 sqft,OK Pets,"461 W 44th St Apt 4C,                  ",New York,NY,10036
"$4,995",2 bed,2 bath,"1,018 sqft",NO,"225 E 70th St Apt 5E,                  ",New York,NY,10021
"$3,995",1 bed,1 bath,750 sqft,NO,"201 E 12th St Apt 210,                  ",New York,NY,10003
"$1,995",0 bed,1 bath,Data Not Found,NO,"33 E 95th St Unit 36,                  ",New York,NY,10128
"$4,600",3 bed,1 bath,911 sqft,NO,"159 Second Ave Unit 0,                  ",New York,NY,10009
"$6,250",4 bed,2.5 bath,"1,345 sqft",NO,"313 E 93rd St Apt 1C,                  ",New York,NY,10128
"$4,195",1 bed,1 bath,800 sqft,NO,"201 E 12th St Apt 208,                  ",New York,NY,10003
"$3,077",2 bed,1 bath,800 sqft,NO,"135 E 50th St Apt 5H,                  ",New York,NY,10022
"$5,000",2 bed,1 bath,"1,100 sqft",NO,"201 E 12th St Apt 513,                  ",New York,NY,10003
"$3,200",1 bed,1.5 bath,785 sqft,OK Pets,"240 E 78th St Apt H,                  ",New York,NY,10075
"$9,412",3 bed,2.5 bath,Data Not Found,OK Pets,"795 Columbus Ave Apt 14C,                  ",New York,NY,10025
"$2,300",0 bed,1 bath,500 sqft,NO,"117 E 37th St Apt 4B,                  ",New York,NY,10016
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,595",1 bed,1 bath,Data Not Found,NO,"200 W 109th St Apt B8,                  ",New York,NY,10025
"$7,240",2 bed,2 bath,Data Not Found,OK Pets,"200 W 63rd St Unit 319,                  ",New York,NY,10023
"$2,950",0 bed,1 bath,Data Not Found,OK Pets,"150 E 34th St Apt 307,                  ",New York,NY,10016
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,695",2 bed,1 bath,Data Not Found,NO,"310 E 19th St Apt 5,                  ",New York,NY,10003
"$4,650",1 bed,1 bath,700 sqft,OK Pets,"25 E 10th St Unit 68F,                  ",New York,NY,10003
"$8,150",3 bed,2 bath,"1,400 sqft",OK Pets,"247 W 87th St Unit 888A,                  ",New York,NY,10024
"$7,500",2 bed,2 bath,"1,200 sqft",OK Pets,"134 E 61st St Unit 7,                  ",New York,NY,10065
"$4,300",3 bed,2 bath,"1,098 sqft",NO,"150 E 91st St Apt 32,                  ",New York,NY,10128
"$3,100",2 bed,1 bath,868 sqft,NO,"230 E 87th St Apt 5A,                  ",New York,NY,10128
"$2,400",1 bed,1 bath,565 sqft,NO,"337 E 21st St Unit 3R,                  ",New York,NY,10010
"$3,495",1 bed,1 bath,612 sqft,NO,"105 Sullivan St Apt 5B,                  ",New York,NY,10012
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$6,000",1 bed,1 bath,"1,000 sqft",OK Pets,"145 Fourth Ave Unit 992A,                  ",New York,NY,10003
"$4,100",2 bed,1 bath,Data Not Found,NO,"495 Pacific St Unit 1,                  ",New York,NY,11217
"$1,697",1 bed,1 bath,Data Not Found,NO,"20 Menahan St Unit 2,                  ",Queens,NY,11385
"$5,995",2 bed,1 bath,Data Not Found,OK Pets,"107 W 25th St Apt 3E,                  ",Manhattan,NY,10001
"$11,500",2 bed,2 bath,"1,474 sqft",OK Pets,"70 Charlton St Apt 12F,                  ",Manhattan,NY,10014
"$2,000",2 bed,1 bath,Data Not Found,NO,"2350 Pacific St Apt 1,                  ",Brooklyn,NY,11233
"$1,000",1 bed,1 bath,Data Not Found,OK Pets,"170 Amsterdam Ave Unit 22,                  ",New York,NY,10023
"$1,850",1 bed,1 bath,Data Not Found,NO,"632 E 186th St Apt 11,                  ",Bronx,NY,10458
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$5,995",2 bed,2 bath,"1,000 sqft",OK Pets,"121 E 23rd St Apt 12A,                  ",New York,NY,10010
"$3,150",0 bed,1 bath,Data Not Found,OK Pets,"200 W 20th St Apt 1101,                  ",New York,NY,10011
"$2,500",4 bed,2 bath,Data Not Found,NO,"58-13 150th St,                  ",Flushing,NY,11355
"$1,850",2 bed,1 bath,Data Not Found,NO,"62-16 62 Ave,                  ",Middle Village,NY,11379
"$14,000",4 bed,2 bath,"4,100 sqft",NO,"117 E 24th St Unit 9,                  ",Manhattan,NY,10010
"$2,700",0 bed,1 bath,Data Not Found,OK Pets,"90 Washington St Apt 15F,                  ",Manhattan,NY,10006
"$3,200",2 bed,1 bath,Data Not Found,OK Pets,"167 Mott St Unit D6,                  ",Manhattan,NY,10013
"$1,871",1 bed,1 bath,Data Not Found,OK Pets,"140-18 Ash Ave,                  ",Flushing,NY,11355
"$6,495",1 bed,1 bath,Data Not Found,NO,"130-130 W 15th St Unit 12N,                  ",New York,NY,10011
"$8,995",2 bed,2 bath,Data Not Found,NO,"130-130 W 15th St Unit 14D,                  ",New York,NY,10011
"$4,145",1 bed,1.5 bath,Data Not Found,NO,"101-101 W 55th St Unit 1204,                  ",New York,NY,10019
"$3,850",2 bed,2 bath,"1,061 sqft",NO,"29 Montrose Ave Apt 5B,                  ",New York,NY,11206
"$6,500",1 bed,1 bath,917 sqft,OK Pets,"225 Fifth Ave Unit 8N,                  ",New York,NY,10010
"$4,800",2 bed,2 bath,"1,058 sqft",OK Pets,"415 Leonard St Apt 2A,                  ",Brooklyn,NY,11222
"$4,250",2 bed,2 bath,Data Not Found,NO,"380 Lenox Ave Unit 6E,                  ",Manhattan,NY,10027
"$2,210",1 bed,1 bath,Data Not Found,OK Pets,"2417 Albemarle Rd Unit 7B,                  ",Brooklyn,NY,11226
"$2,900",0 bed,1 bath,Data Not Found,NO,"75 Bank St Apt 2B,                  ",Manhattan,NY,10014
"$8,500",3 bed,3.5 bath,Data Not Found,OK Pets,"21 W 86th St Apt 3F,                  ",Manhattan,NY,10024
